policy,scenario_id,role,captured_re,observed_re,oracle_re,team_games,attempts,successes,failures,gain_over_observed_re,captured_re_per_team_game,gain_over_observed_re_per_team_game,share_of_oracle,success_rate,games,captured_re_per_game,gain_over_observed_re_per_game,fraction_observed_to_oracle_gap_closed
bellman_structural,offense_kappa_1.00__defense_kappa_1.00,combined,278.632451637109,228.363047707824,695.352477639712,994,3064.86917606492,1355.45128875277,1709.41788731215,50.2694039292856,0.280314337663088,0.0505728409751364,0.400706779075402,0.442254207565582,497,0.560628675326176,0.101145681950273,0.107645699682362
bellman_structural,offense_kappa_1.00__defense_kappa_1.00,defense,148.753040989155,132.305665435558,325.769756696398,994,1538.48838022909,734.307491384647,804.180888844448,16.4473755535969,0.14965094666917,0.016546655486516,0.456620167868393,0.477291542023413,497,0.29930189333834,0.0330933109730319,0.0850151335392856
bellman_structural,offense_kappa_1.00__defense_kappa_1.00,offense,129.879410647955,96.0573822722653,369.582720943313,994,1526.38079583583,621.143797368121,905.236998467707,33.8220283756894,0.130663390993918,0.0340261854886212,0.351421761051096,0.40693894935175,497,0.261326781987837,0.0680523709772423,0.123652267610809
direct_learning_procedure,offense_kappa_1.00__defense_kappa_1.00,combined,278.07283741852,228.363047707824,695.352477639712,994,2961.71591829884,1340.81518022209,1620.90073807675,49.7097897106959,0.279751345491469,0.050009848803517,0.39990198692094,0.452715661194214,497,0.559502690982937,0.100019697607034,0.106447355174498
direct_learning_procedure,offense_kappa_1.00__defense_kappa_1.00,defense,148.146616211942,132.305665435558,325.769756696398,994,1488.64049690311,725.57895269974,763.061544203367,15.8409507763834,0.149040861380223,0.0159365701975688,0.454758654438285,0.48741046223665,497,0.298081722760446,0.0318731403951376,0.0818805736669015
direct_learning_procedure,offense_kappa_1.00__defense_kappa_1.00,offense,129.926221206578,96.0573822722653,369.582720943313,994,1473.07542139573,615.236227522348,857.839193873384,33.8688389343126,0.130710484111245,0.0340732786059483,0.351548418916766,0.417654261680243,497,0.261420968222491,0.0681465572118965,0.123823405534814
exact_location_oracle,offense_kappa_1.00__defense_kappa_1.00,combined,695.352477639712,228.363047707824,695.352477639712,994,4967,4967,0,466.989429931888,0.699549776297497,0.469808279609546,1,1,497,1.39909955259499,0.939616559219091,1
exact_location_oracle,offense_kappa_1.00__defense_kappa_1.00,defense,325.769756696398,132.305665435558,325.769756696398,994,2170,2170,0,193.46409126084,0.327736173738831,0.194631882556177,1,1,497,0.655472347477663,0.389263765112354,1
exact_location_oracle,offense_kappa_1.00__defense_kappa_1.00,offense,369.582720943313,96.0573822722653,369.582720943313,994,2797,2797,0,273.525338671048,0.371813602558665,0.275176397053368,1,1,497,0.74362720511733,0.550352794106735,1
fitted_human_selection,offense_kappa_1.00__defense_kappa_1.00,combined,212.043816309865,228.363047707824,695.352477639712,994,2049.91996780909,1119.86463987944,930.05532792965,-16.319231397959,0.213323758863043,-0.0164177378249085,0.304944360059838,0.546296761563978,497,0.426647517726086,-0.0328354756498169,-0.034945611938881
fitted_human_selection,offense_kappa_1.00__defense_kappa_1.00,defense,118.428311399036,132.305665435558,325.769756696398,994,1068.90063475157,624.327459940797,444.573174810771,-13.8773540365225,0.119143170421565,-0.013961120761089,0.36353378103605,0.58408372082771,497,0.23828634084313,-0.027922241522178,-0.0717309033737541
fitted_human_selection,offense_kappa_1.00__defense_kappa_1.00,offense,93.6155049108292,96.0573822722653,369.582720943313,994,981.019333057521,495.537179938642,485.482153118879,-2.44187736143607,0.0941805884414781,-0.00245661706381898,0.253300545739497,0.505124785251899,497,0.188361176882956,-0.00491323412763797,-0.00892742651668103
observed,offense_kappa_1.00__defense_kappa_1.00,combined,228.363047707824,228.363047707824,695.352477639712,994,2275,1233,1042,0,0.229741496687952,0,0.328413365956463,0.541978021978022,497,0.459482993375903,0,0
observed,offense_kappa_1.00__defense_kappa_1.00,defense,132.305665435558,132.305665435558,325.769756696398,994,1260,718,542,0,0.133104291182654,0,0.406132437759901,0.56984126984127,497,0.266208582365308,0,0
observed,offense_kappa_1.00__defense_kappa_1.00,offense,96.0573822722653,96.0573822722653,369.582720943313,994,1015,515,500,0,0.0966372055052971,0,0.259907665669789,0.507389162561576,497,0.193274411010594,0,0
public_information_only,offense_kappa_1.00__defense_kappa_1.00,combined,97.5310662933752,228.363047707824,695.352477639712,994,1489,209,1280,-130.831981414449,0.0981197850033956,-0.131621711684556,0.140261334258033,0.140362659503022,497,0.196239570006791,-0.263243423369112,-0.280160476937414
public_information_only,offense_kappa_1.00__defense_kappa_1.00,defense,17.8070672317439,132.305665435558,325.769756696398,994,273,24,249,-114.498598203814,0.0179145545590985,-0.115189736623556,0.0546615112843001,0.0879120879120879,497,0.035829109118197,-0.230379473247111,-0.591833851220691
public_information_only,offense_kappa_1.00__defense_kappa_1.00,offense,79.7239990616314,96.0573822722653,369.582720943313,994,1216,185,1031,-16.3333832106339,0.0802052304442972,-0.0164319750609999,0.215713545422649,0.152138157894737,497,0.160410460888594,-0.0328639501219998,-0.0597143331948382
robust_signal_assisted,offense_kappa_1.00__defense_kappa_1.00,combined,278.07283741852,228.363047707824,695.352477639712,994,2961.71591829884,1340.81518022209,1620.90073807675,49.7097897106959,0.279751345491469,0.050009848803517,0.39990198692094,0.452715661194214,497,0.559502690982937,0.100019697607034,0.106447355174498
robust_signal_assisted,offense_kappa_1.00__defense_kappa_1.00,defense,148.146616211942,132.305665435558,325.769756696398,994,1488.64049690311,725.57895269974,763.061544203367,15.8409507763834,0.149040861380223,0.0159365701975688,0.454758654438285,0.48741046223665,497,0.298081722760446,0.0318731403951376,0.0818805736669015
robust_signal_assisted,offense_kappa_1.00__defense_kappa_1.00,offense,129.926221206578,96.0573822722653,369.582720943313,994,1473.07542139573,615.236227522348,857.839193873384,33.8688389343126,0.130710484111245,0.0340732786059483,0.351548418916766,0.417654261680243,497,0.261420968222491,0.0681465572118965,0.123823405534814
