metric,value
raw_games,1989
raw_called_pitches,292381
raw_tracked_pitches,292127
development_games,1488
development_called_pitches,219130
development_tracked_pitches,218896
development_observed_challenges,6263
confirmation_games,497
confirmation_called_pitches,72653
confirmation_tracked_pitches,72633
confirmation_observed_challenges,2275
confirmation_overturned,1233
confirmation_upheld,1042
tracked_official_challenge_rulings,8537
confirmation_geometry_correctable_calls,4975
confirmation_positive_value_oracle_actions,4967
confirmation_zero_value_correctable_calls,8
