policy,captured_re_per_game,gain_re_per_game,gain_lower_95_per_game,gain_upper_95_per_game,success_rate,oracle_share,bootstrap_replicates
Observed decisions,0.459482993375903,0,,,0.541978021978022,0.328413365956463,
Learned policy,0.559502690982937,0.100019697607034,0.073751441976007,0.128127536761602,0.452715661194214,0.39990198692094,5000
Bellman check,0.560628675326176,0.101145681950273,0.074742633316374,0.129282886781354,0.442254207565582,0.400706779075402,5000
Exact-location oracle,1.39909955259499,0.939616559219091,0.892261852097165,0.987394624469459,1,1,5000
