case,game_pk,pitch_order,state,role,margin_inches,gain_re,loss_if_second_inventory_is_spent,posterior_threshold,signal_threshold_inches,conditional_action_probability
Challenge (KC at LAD),823916,10,"T1, 2 outs, 3-2",offense,2.42535623969016,0.781927414918728,0.0897361580791826,0.102948156673054,-2.41766411409906,0.950266701391458
Wait (CLE at CIN),824489,9,"B1, 2 outs, 0-0",offense,0.609437107455327,0.0319984981620265,0.085339745365894,0.727296939173863,7.64768259196344,0.00832850275010906
